   Field    ID     z sfr_1_05 sfr_1_16 sfr_1_50 sfr_1_84 sfr_1_95 sfr_2_05 sfr_2_16 sfr_2_50 sfr_2_84 sfr_2_95 sfr_3_05 sfr_3_16 sfr_3_50 sfr_3_84 sfr_3_95 sfr_4_05 sfr_4_16 sfr_4_50 sfr_4_84 sfr_4_95 sfr_5_05 sfr_5_16 sfr_5_50 sfr_5_84 sfr_5_95 sfr_6_05 sfr_6_16 sfr_6_50 sfr_6_84 sfr_6_95 E(B-V)_05 E(B-V)_16 E(B-V)_50 E(B-V)_84 E(B-V)_95 $\delta$_05 $\delta$_16 $\delta$_50 $\delta$_84 $\delta$_95 $E_b$_05 $E_b$_16 $E_b$_50 $E_b$_84 $E_b$_95 Log Z_05 Log Z_16 Log Z_50 Log Z_84 Log Z_95 Log Mass_05 Log Mass_16 Log Mass_50 Log Mass_84 Log Mass_95 SFR10_05 SFR10_16 SFR10_50 SFR10_84 SFR10_95 SFR100_05 SFR100_16 SFR100_50 SFR100_84 SFR100_95
-------- ----- ----- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- --------- --------- --------- --------- --------- ----------- ----------- ----------- ----------- ----------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- ----------- ----------- ----------- ----------- ----------- -------- -------- -------- -------- -------- --------- --------- --------- --------- ---------
  O3ELG1 00001 0.078   -2.225   -1.740   -1.329   -0.942   -0.671   -1.598   -1.223   -0.794   -0.549   -0.363   -4.844   -4.406   -3.042   -1.786   -1.304   -4.679   -3.597   -2.408   -1.688   -1.383   -4.606   -3.995   -2.867   -2.023   -1.662   -4.869   -4.597   -3.706   -2.481   -1.960     0.020     0.042     0.098     0.201     0.265      -0.748      -0.381       0.057       0.584       0.888    0.015    0.460    2.365    4.898    5.642   -1.835   -1.548   -0.566   -0.010    0.128       7.602       7.755       7.947       8.160       8.333   -2.225   -1.740   -1.329   -0.942   -0.671    -2.225    -1.740    -1.329    -0.942    -0.671
  O3ELG2 00002 0.078   -1.923   -1.757   -1.420   -1.026   -0.913   -1.749   -1.441   -0.993   -0.827   -0.724   -4.803   -4.371   -3.039   -2.029   -1.570   -4.887   -4.669   -3.829   -2.863   -2.249   -4.850   -4.457   -3.414   -2.507   -2.138   -4.786   -4.321   -3.349   -2.567   -2.263    -0.039    -0.011     0.036     0.079     0.121      -0.703      -0.382       0.246       0.824       0.941    0.468    1.648    4.074    5.447    5.854   -1.925   -1.731   -0.671   -0.267   -0.002       7.364       7.470       7.613       7.794       7.920   -1.923   -1.757   -1.420   -1.026   -0.913    -1.923    -1.757    -1.420    -1.026    -0.913
  O3ELG3 00003 0.084   -2.615   -2.281   -1.779   -1.470   -1.256   -2.271   -2.029   -1.587   -1.353   -1.195   -4.813   -4.477   -3.421   -2.348   -1.923   -4.885   -4.595   -3.664   -2.796   -2.417   -4.859   -4.551   -3.673   -2.791   -2.393   -4.866   -4.565   -3.713   -2.920   -2.546    -0.020     0.014     0.066     0.159     0.235      -0.801      -0.352       0.201       0.726       0.916    0.091    1.018    3.209    5.055    5.671   -1.936   -1.817   -1.121   -0.278    0.056       6.857       6.976       7.208       7.418       7.599   -2.615   -2.281   -1.779   -1.470   -1.256    -2.615    -2.281    -1.779    -1.470    -1.256
  O3ELG4 00004 0.082   -0.981   -0.668   -0.280    0.038    0.268   -1.897   -1.244   -0.519   -0.136    0.040   -4.634   -3.807   -2.061   -0.833   -0.253   -4.608   -3.803   -2.396   -1.272   -0.904   -4.619   -3.928   -2.346   -1.313   -0.866   -4.874   -4.465   -2.994   -1.619   -1.060     0.041     0.086     0.177     0.313     0.404      -0.802      -0.359       0.208       0.707       0.899    0.143    0.784    2.709    4.910    5.661   -1.875   -1.596   -0.783   -0.105    0.104       8.038       8.250       8.515       8.858       9.084   -0.981   -0.668   -0.280    0.038    0.268    -0.981    -0.668    -0.280     0.038     0.268
  O3ELG5 00005 0.083   -2.341   -1.745   -1.172   -0.624   -0.401   -1.061   -0.876   -0.542   -0.271   -0.129   -4.003   -3.089   -1.712   -0.777   -0.520   -4.450   -3.404   -2.160   -1.325   -0.989   -4.744   -4.084   -2.430   -1.481   -1.084   -4.794   -4.175   -2.741   -1.867   -1.438     0.042     0.083     0.166     0.242     0.299      -0.412      -0.169       0.211       0.715       0.909    0.112    0.778    3.121    5.144    5.741   -1.861   -1.638   -1.096   -0.397   -0.019       8.044       8.174       8.393       8.610       8.757   -2.341   -1.745   -1.172   -0.624   -0.401    -2.341    -1.745    -1.172    -0.624    -0.401
  O3ELG6 00006 0.070   -2.053   -1.916   -1.696   -1.288   -0.895   -4.561   -3.793   -2.531   -1.837   -1.525   -4.882   -4.582   -3.696   -2.504   -2.083   -4.256   -3.676   -2.880   -2.322   -2.041   -4.844   -4.519   -3.494   -2.620   -2.300   -4.892   -4.651   -3.792   -2.864   -2.481    -0.039    -0.019     0.041     0.208     0.366      -0.791      -0.417       0.458       0.873       0.967    0.079    0.720    2.856    4.890    5.666   -1.922   -1.768   -0.967   -0.256    0.041       6.692       6.871       7.183       7.498       7.727   -2.053   -1.916   -1.696   -1.288   -0.895    -2.053    -1.916    -1.696    -1.288    -0.895
  O3ELG7 00007 0.096   -2.177   -1.871   -1.544   -1.329   -1.155   -3.317   -2.683   -1.864   -1.352   -1.168   -4.892   -4.614   -3.585   -2.545   -2.088   -4.718   -4.135   -3.298   -2.612   -2.286   -4.845   -4.514   -3.622   -2.771   -2.434   -4.811   -4.479   -3.526   -2.761   -2.464    -0.043    -0.028     0.018     0.066     0.123      -0.666      -0.277       0.317       0.800       0.942    0.072    0.650    2.597    4.926    5.691   -1.917   -1.763   -0.987   -0.345   -0.162       6.887       7.035       7.243       7.439       7.567   -2.177   -1.871   -1.544   -1.329   -1.155    -2.177    -1.871    -1.544    -1.329    -1.155
  O3ELG8 00008 0.063   -1.378   -1.158   -0.932   -0.672   -0.497   -2.397   -1.683   -1.116   -0.803   -0.648   -4.548   -3.775   -2.301   -1.398   -1.019   -4.635   -4.148   -2.937   -1.750   -1.352   -4.757   -4.284   -2.971   -1.771   -1.383   -4.710   -4.104   -2.756   -1.817   -1.545     0.066     0.088     0.136     0.215     0.285      -0.922      -0.797      -0.465      -0.124       0.083    0.139    0.778    2.532    4.786    5.597   -1.890   -1.634   -0.744   -0.141    0.088       7.618       7.816       8.068       8.326       8.451   -1.378   -1.158   -0.932   -0.672   -0.497    -1.378    -1.158    -0.932    -0.672    -0.497
  O3ELG9 00009 0.062   -0.873   -0.581   -0.346   -0.155   -0.030   -2.012   -1.394   -0.665   -0.264   -0.074   -4.763   -4.227   -2.620   -1.387   -0.995   -4.071   -3.218   -2.070   -1.399   -1.122   -4.775   -4.324   -2.918   -1.839   -1.417   -4.849   -4.478   -3.373   -2.099   -1.587    -0.044    -0.026     0.007     0.043     0.121      -0.860      -0.593       0.090       0.731       0.924    0.003    0.510    2.371    4.611    5.522   -1.921   -1.783   -1.022   -0.394   -0.185       7.935       8.075       8.284       8.509       8.647   -0.873   -0.581   -0.346   -0.155   -0.030    -0.873    -0.581    -0.346    -0.155    -0.030
 O3ELG10 00010 0.033   -4.635   -3.891   -2.740   -1.849   -1.365   -3.776   -3.133   -2.330   -1.656   -1.182   -4.848   -4.516   -3.475   -2.459   -1.906   -4.825   -4.488   -3.556   -2.494   -1.843   -4.810   -4.431   -3.316   -2.416   -1.794   -4.812   -4.457   -3.446   -2.561   -2.019     0.294     0.527     0.938     1.341     1.454      -0.750      -0.292       0.399       0.837       0.958    0.109    0.720    2.557    4.702    5.585   -1.895   -1.710   -0.943   -0.099    0.119       6.277       6.618       7.173       7.796       8.174   -4.635   -3.891   -2.740   -1.849   -1.365    -4.635    -3.891    -2.740    -1.849    -1.365
